KEY_FOR_TRANSLATOR	English	Arabic	Chinese Simplified	Chinese Traditional	Danish	Dutch	Finnish	French	German	Hindi (India)	Indonesian	Italian	Japanese	Korean	Malay	Norwegian	Polish	Portuguese (Brazil)	Russian	Spanish	Swedish	Thai	Turkish	Vietnamese
CompletePrev	Complete previous levels to unlock this one.	أكمل المستويات السابقة لفتح هذا المستوى.	完成之前的关卡才能解锁此关。	完成之前的關卡以解鎖這個關卡。	Gennemfør tidligere baner for at låse op for denne.	Voltooi vorige levels om deze te ontgrendelen.	Avaa tämä taso läpäisemällä aiemmat tasot.	Terminez les niveaux précédents pour débloquer celui-ci.	Beende vorherige Level, um diesen freizuschalten.	इसे अनलॉक करने के लिए पिछले स्तर को पूरा करें	Selesaikan level sebelumnya untuk membuka level ini.	Completa i livelli precedenti per sbloccare questo.	これをアンロックするには前のレベルを完了してください。	이를 잠금해제 하려면 이전 레벨을 완료하세요.	Selesaikan tahap sebelumnya untuk membuka kunci yang satu ini.	Fullfør foregående nivåer for å låse opp dette.	Ukończenie wcześniejszych poziomów odblokuje ten poziom.	Conclua níveis anteriores para desbloquear este.	Пройдите предыдущий уровень, чтобы разблокировать этот.	Completa los niveles anteriores para desbloquear este.	Slutför föregående nivåer för att låsa upp den här.	เล่นด่านก่อนหน้าให้เสร็จสิ้นเพื่อปลดล็อกด่านนี้	Bu seviyenini kilidini açmak için öncekileri tamamlayın.	Hoàn thành các cửa trước đó để mở khóa cửa này.
TemporaryUnlock	Temporary Unlock	الفتح مؤقتاً	临时解锁	暫時解鎖	Midlertidig oplåsning	Tijdige ontgrendeling	Avaa väliaikaisesti	Déblocage temporaire	Kurzzeitig freigeschaltet	अस्थाई अनलॉक	Buka Kunci Sementara	Sblocco temporaneo	一時的にアンロック	일시 잠금해제	Kunci Dibuka Sementara	Lås opp midlertidig	Odblokuj tymczasowo	Desbloqueio temporário	Временно разблокировть	Desbloqueo temporal	Lås upp tillfälligt	ปลดล็อกชั่วคราว	Geçici Aç	Mở khóa Tạm thời
Settings	Settings	الإعدادات	设置	設定	Indstillinger	Instellingen	Asetukset	Paramètres	Einstellungen	सेटिंग्स	Pengaturan	Impostazioni	設定	설정	Tetapan	Innstillinger	Ustawienia	Configurações	Настройки	Ajustes	Inställningar	การตั้งค่า	Ayarlar	Cài đặt
restorePurchases	restore purchases	استعادة المشتريات	恢复购买	恢復已購買項目	gendan køb	Herstel aankopen	palauta ostokset	restaurer les achats	Käufe wiederherstellen	खरीद रीस्टोर करें	pulihkan pembelian	ripristina acquisti	購入を復元	구매 복원	pulihkan pembelian	gjenopprett kjøp	przywróć zakupy	restaurar compras	восстановить покупки	restaurar compras	återställ köp	คืนค่ารายการซื้อ	Satın almaları geri yükle	Phục hồi thanh toán
music	music: 	الموسيقى:	音乐：	音樂：	musik:	muziek:	musiikki:	musique :	Musik:	संगीत:	musik:	musica:	音楽:	음악:	muzik:	musikk:	muzyka:	música:	музыка:	música:	musik:	เพลง:	Müzik:	âm nhạc:
on	on	مفعل	打开	開	til	aan	päällä	activée	Ein	चालू	nyala	sì	オン	켜기	hidup	på	wł.	ligado	вкл.	activado	på	เปิด	açık	bật
off	off	معطل	关闭	關	fra	uit	pois	désactivée	Aus	बंद	mati	no	オフ	끄기	mati	av	wył.	desligado	выкл.	desactivado	av	ปิด	kapalı	tắt
sounds	sounds:	الأصوات:	声音：	音效：	lyde:	geluiden:	äänet:	sons :	Sounds:	ध्वनियां:	suara:	suoni:	サウンド:	사운드:	bunyi:	lyder:	dźwięki:	sons:	звуки:	sonidos:	ljud:	เสียงประกอบ:	sesler:	âm thanh:
showTutorial	show tutorial	عرض التعليمات	显示教程	顯示教學	vis vejledning	bekijk leerprogramma	näytä esittely	afficher le didacticiel	Tutorial zeigen	ट्यूटोरियल दिखाएं	tampilkan tutorial	mostra tutorial	チュートリアルを表示	튜토리얼 보기	tunjuk tutorial	vis veiledning	pokaż instrukcję	mostrar tutorial	показать обучение	mostrar tutorial	visa användarguide	แสดงบทแนะนำ	tanıtım materyalini göster	hiện hướng dẫn
RemainingBalls	Remaining Balls	الكرات المتبقية	剩余球数	剩餘球數	Resterende bolde	Overige Ballen	Palloja jäljellä	Balles restantes	Verbleibende Bälle	शेष गेंदें	Bola Tersisa	Palline rimaste	残りボール	잔여 공	Baki Bola	Resterende kuler	Pozostałe piłki	Bolas restantes	Оставшиеся шары	Bolas restantes	Bollar kvar	ลูกบอลที่เหลืออยู่	Kalan Toplar	Bóng còn lại
NewBallIn	New ball in:	كرة جديدة بعد:	新球就绪：	獲得新球還要：	Ny bold om:	Nieuwe bal in:	Uuteen palloon:	Nouvelle balle dans :	Neuer Ball in:	नई गेंद अब:	Bola baru dalam:	Nuova pallina tra:	新しいボールまで:	새 공:	Bola baharu dalam:	Ny kule om:	Nowa piłka za:	Nova bola em:	Новый шар через:	Bola nueva en:	Ny boll om:	ลูกบอลใหม่ในอีก:	Şurada yeni top:	Bóng mới trong:
InfiniteBalls	Infinite Balls	كرات غير محدودة	无限球数	無限球數	Uendelige bolde	Oneindige Ballen	Loputtomat pallot	Balles infinies	Unendliche Bälle	असीमित गेंदें	Bola Tanpa Batas	Palline infinite	無限ボール	무한한 공	Bola Tanpa Had	Uendelig med kuler	Nieograniczona liczba piłek	Bolas infinitas	Бесконечные шары	Bolas infinitas	Oändligt antal bollar	ลูกบอลไม่จำกัด	Sınırsız Top	Bóng vô tận
ExtraBalls	Extra Balls	كرات إضافية	额外球数	額外球數	Ekstra bolde	Extra Ballen	Lisäpallot	Balles supplémentaires	Extra-Bälle	अतिरिक्त गेंदें	Bola Ekstra	Palline extra	追加ボール	추가 공	Bola Tambahan	Ekstra kuler	Dodatkowe piłki	Bolas extras	Дополнительные шары	Bolas extra	Extrabollar	ลูกบอลพิเศษ	İlave Top	Bóng thêm
LEVEL	LEVEL	المستوى	等级	關卡	BANE	LEVEL	TASO	NIVEAU	LEVEL	लेवल	LEVEL	LIVELLO	レベル	레벨	TAHAP	NIVÅ	POZIOM	NÍVEL	УРОВЕНЬ	NIVEL	NIVÅ	เลเวล	SEVİYE	CỬA
CompleteMissionsToLevelUp	Complete missions to level up.	استكمل المهمات لرفع مستواك.	完成任务以升级。	完成任務以升級。	Gennemfør missioner for at stige i niveau.	Voltooi missies om een hoger level te krijgen.	Nouse seuraavalle tasolle suorittamalla tehtäviä.	Terminez les missions pour monter en niveau.	Beende Missionen, um neue Level zu erreichen.	ऊपर के लेवल के लिए मिशन पूरा करें।	Selesaikan misi untuk naik level.	Completa le missioni per passare di livello.	ミッションを完了してレベルアップしよう。	레벨을 높이려면 미션을 완성하세요.	Selesaikan misi untuk naik tahap.	Fullfør oppdrag for å gå opp et nivå.	Ukończ misje, aby awansować.	Cumpra missões para subir de nível	Проходите миссии для повышения уровней.	Completa misiones para subir de nivel.	Slutför uppdrag för att gå upp en nivå.	ทำภารกิจให้เสร็จสิ้นเพื่อเพิ่มเลเวล	Seviyeyi yükseltmek için görevleri tamamlayın.	Hoàn thành nhiệm vụ để tăng cấp
CompleteAllMissionsAndGetExtra	Complete all missions and get extra	استكمل كل المهمات واحصل على المزيد	完成所有任务，获得额外奖励	完成所有任務，獲得額外獎勵	Gennemfør alle missioner, og få ekstra	Voltooi alle missies en ontvang extra	Suorita kaikki tehtävät, niin saat lisää	Terminez toutes les missions et recevez plus de	Beende alle Missionen und erhalte zusätzlich	सभी मिशन पूरा करें और अतिरिक्त पाएं	Selesaikan semua misi dan dapatkan ekstra	Completa tutte le missioni per ricevere un extra	すべてのミッションを完了して獲得:	모든 미션을 완성하고 추가로 받으세요	Selesaikan semua misi dan dapat lebih	Fullfør alle oppdrag og få ekstra	Ukończ wszystkie misje, aby dostać dodatkowe	Cumpra todas as missões e ganhe mais	Завершите все миссии и получите дополнение	Completa todas las misiones y recibe más	Slutför alla uppdrag och få extra	ทำภารกิจทั้งหมดให้เสร็จสิ้น แล้วรับของพิเศษ	Tüm görevleri tamamlayın ve ilave alın	Hoàn thành tất cả nhiệm vụ và nhận thêm
TIMELEFT	TIME LEFT: 	الوقت المتبقي:	剩余时间：	剩餘時間：	TID TILBAGE:	TIJD OVER:	AIKAA JÄLJELLÄ:	TEMPS RESTANT :	ÜBRIGE ZEIT:	शेष समय:	SISA WAKTU:	TEMPO RIMASTO:	残り時間:	잔여 시간:	BAKI MASA:	GJENSTÅENDE TID:	POZOSTAŁY CZAS:	TEMPO RESTANTE:	ОСТАВШЕЕСЯ ВРЕМЯ:	TIEMPO RESTANTE:	TID KVAR:	เวลาที่เหลือ:	KALAN SÜRE:	THỜI GIAN CÒN LẠI:
skipWatchAd	skip watch ad	تخطي مشاهدة الإعلان	跳过观看广告	跳過觀看廣告	spring visning af reklame over	sla bekijken van advertenties over	ohita mainos	passer le visionnage de pub	Werbung überspringen	विज्ञापन देखना छोड़ें	lompati melihat iklan	salta pubblicità	広告視聴をスキップ	광고 건너뛰기	langkau tontonan iklan	hopp over reklamen	pomiń reklamę	pular anúncio	пропустить рекламу	saltar reproducción del anuncio	titta inte på annonsen	ข้ามการชมโฆษณา	kol saati reklamını atla	bỏ qua xem quảng cáo
Pause	Pause	إيقاف مؤقت	暂停	暫停	Pause	Pauzeren	Keskeytä	Pause	Pause	रुकें	Jeda	Pausa	一時停止	일시 정지	Jeda	Pause	Pauza	Pausar	Пауза	Pausa	Pausa	หยุด	Duraklat	Tạm dừng
menu	menu	القائمة	菜单	選單	menu	menu	valikko	menu	Menü	मेनु	menu	menu	メニュー	메뉴	menu	meny	menu	menu	меню	menú	meny	เมนู	menü	menu
restart	restart	إعادة البدء	重新开始	重新開始	genstart	herstarten	aloita alusta	recommencer	Neustart	रीस्टार्ट	mulai ulang	riavvia	リスタート	다시 시작	mula semula	start på nytt	restartuj	reiniciar	заново	reiniciar	börja om	เริ่มใหม่	yeniden başlat	Khởi động lại
resume	resume	استئناف	继续	繼續	genoptag	doorgaan	jatka	reprendre	Fortsetzen	शुरू करें	lanjutkan	riprendi	再開	다시 시작	sambung semula	fortsett	wznów	continuar	продолжить	reanudar	fortsätt	เล่นต่อ	sürdür	Hồi phục lại
Highscore	Highscore	أعلى نتيجة	高分	最佳成績	Highscore	Hoogste score	ennätys	Meilleur score	Highscore	उच्चतम स्कोर	Skor tertinggi	Record	ハイスコア	고득점	Skor Tinggi	Høyeste poengsum	Najlepszy wynik	recorde	рекорд	Puntuación más alta	Rekord	คะแนนสูงสุด	Yüksek puan	Điểm cao
newBest	new best!	رقم قياسي جديد!	新最佳成绩！	新最高紀錄！	ny rekord!	nieuwe beste!	uusi huipputulos!	nouveau record !	Neue Höchstpunktzahl!	नया सर्वोत्तम	terbaik baru!	nuovo record!	新ベスト！	신기록!	terbaik baharu!	ny rekord!	nowy rekord!	novo recorde!	новый рекорд!	¡nuevo récord!	nytt rekord!	คะแนนที่ดีที่สุดใหม่!	yeni en iyi!	điểm cao nhất mới!
Tutorial	Tutorial	التعليمات	教程	教學	Vejledning	Leerprogramma	Esittely	Didacticiel	Tutorial	ट्यूटोरियल	Tutorial	Tutorial	チュートリアル	튜토리얼	Tutorial	Veiledning	Instrukcja	Tutorial	Обучение	Tutorial	Användarguide	บทแนะนำ	Tanıtım	Hướng dẫn
TapPerfectlyToGetTheCrowns	Tap perfectly to get the crowns!	اضغط بإتقان للحصول على التيجان!	用完美的点触来赢得皇冠！	達成完美紀錄，獲得皇冠！	Tryk perfekt for at få kronerne!	Tik perfect om de kronen te krijgen!	Nappaa kruunut napauttelemalla täydellisesti!	Touchez à la perfection pour recevoir les couronnes !	Perfekt tippen, um die Kronen zu erhalten!	मुकुट पाने के लिए सही से टैप करें!	Ketuk dengan sempurna untuk mendapatkan mahkota!	Esegui dei tocchi perfetti per ricevere le corone!	完璧にタップして王冠を手に入れよう！	왕관을 받으려면 완벽하게 탭하세요!	Ketik dengan sempurna untuk dapatkan mahkota!	Trykk feilfritt for å få kronene!	Zdobywasz korony, wykonując doskonałe stuknięcia!	Toque perfeitamente para pegar as coroas!	Нажимайте превосходно, чтобы получать короны!	¡Toca a la perfección para conseguir las coronas!	Klicka perfekt för att få kronorna!	แตะอย่างสมบูรณ์แบบเพื่อรับมงกุฎ!	Taçları almak için mükemmel şekilde dokun!	Nhấp hoàn hảo để nhận vương miện!
Bad	Bad	سيء	糟糕	糟糕	Dårligt	Slecht	Huono	Mauvais	Schlecht	बुरा	Buruk	Pessimo	バッド	좋지 않아요	Teruk	Dårlig	Źle	Ruim	Плохо	Mal	Dåligt	แย่	Kötü	Kém
Perfect	Perfect!	ممتاز!	完美！	完美！	Perfekt!	Perfect!	Täydellinen!	Parfait !	Perfekt!	बिलकुल सही!	Sempurna!	Perfetto!	パーフェクト！	완벽해요!	Sempurna!	Feilfritt!	Doskonale!	Perfeito!	Превосходно!	¡Perfecto!	Perfekt!	สมบูรณ์แบบ!	Mükemmel!	Hoàn hảo!
Good	Good	جيد	好！	很好	Godt	Goed	Hyvä	Bon	Gut	अच्छा	Bagus	Bene	グッド	좋아요	Baik	Bra	Dobrze	Bom	Хорошо	Bien	Bra	ดี	İyi	Tốt
GetToIn	Get to _VALUE_% in "_LEVEL_NAME_"	الوصول إلى _VALUE_% في "_LEVEL_NAME_"	在 "_LEVEL_NAME_" 达到 _VALUE_%	在"_LEVEL_NAME_"達成 _VALUE_%	Nå til _VALUE_% i "_LEVEL_NAME_"	Bereik _VALUE_% in "_LEVEL_NAME_"	Kerää _VALUE_% tasolla "_LEVEL_NAME_"	Accédez à _VALUE_% dans « _LEVEL_NAME_ »	Erreiche _VALUE_% in "_LEVEL_NAME_"	"_LEVEL_NAME_" में _VALUE_% पर जाएं	Mencapai _VALUE_% di "_LEVEL_NAME_"	Ottieni _VALUE_% in "_LEVEL_NAME_"	"_LEVEL_NAME_"で_VALUE_%を獲得	"_LEVEL_NAME_"에서 _VALUE_%에 도달하기	Dapatkan ke _VALUE_% dalam "_LEVEL_NAME_"	Oppnå _VALUE_ % i «_LEVEL_NAME_»	Dotrzyj do _VALUE_% w poziomie "_LEVEL_NAME_"	Chegue a _VALUE_% em "_LEVEL_NAME_"	Перейти в _VALUE_% на уровне "_LEVEL_NAME_"	Llegar a _VALUE_% en "_LEVEL_NAME_"	Ta dig till _VALUE_% i "_LEVEL_NAME_"	ทำให้ได้ _VALUE_% ใน "_LEVEL_NAME_"	"_LEVEL_NAME_" de _VALUE_% al	Đạt _VALUE_% trong "_LEVEL_NAME_"
GetToInExtreme	Get to _VALUE_% in extreme "_LEVEL_NAME_"	الوصول إلى _VALUE_% في إكستريم "_LEVEL_NAME_"	在极端的 "_LEVEL_NAME_" 达到 _VALUE_%	在"_LEVEL_NAME_"終極難度達成 _VALUE_%	Nå til _VALUE_% i ekstrem "_LEVEL_NAME_"	Bereik _VALUE_% in extreme "_LEVEL_NAME_"	Kerää _VALUE_% extreme-tasolla "_LEVEL_NAME_"	Accédez à _VALUE_% dans « _LEVEL_NAME_ » extrême	Erreiche _VALUE_% in "_LEVEL_NAME_" auf Extrem	Get to _VALUE_% अत्यधिक में "_LEVEL_NAME_"	Mencapai _VALUE_% di "_LEVEL_NAME_" ekstrem	Ottieni _VALUE_% nell'estremo "_LEVEL_NAME_"	エクストリームの"_LEVEL_NAME_"で_VALUE_%を獲得	익스트림 "_LEVEL_NAME_"에서 _VALUE_%에 도달하기	Dapatkan ke _VALUE_% dalam "_LEVEL_NAME_" ekstrem	Oppnå _VALUE_ % i ekstrem «_LEVEL_NAME_»	Dotrzyj do _VALUE_% w poziomie "_LEVEL_NAME_" (tryb ekstremalny)	Chegue a _VALUE_% em "_LEVEL_NAME_" extremo	Перейти в _VALUE_% на экстремальном уровне "_LEVEL_NAME_"	Llegar a _VALUE_% en "_LEVEL_NAME_" extremo	Ta dig till _VALUE_% i extrem "_LEVEL_NAME_"	ทำให้ได้ _VALUE_% ใน "_LEVEL_NAME_" ขั้นสุด	Aşırı "_LEVEL_NAME_" de _VALUE_% al	Đạt _VALUE_% trong "_LEVEL_NAME_" khắc nghiệt
GetCrownsIn	Get _VALUE_ crowns in "_LEVEL_NAME_"	الحصول على _VALUE_ تاج في "_LEVEL_NAME_"	在 "_LEVEL_NAME_" 获得 _VALUE_ 个皇冠	在"_LEVEL_NAME_"獲得 _VALUE_%個皇冠	Få _VALUE_ kroner i "_LEVEL_NAME_"	Krijg _VALUE_ kronen in "_LEVEL_NAME_"	Kerää _VALUE_ kruunua tasolla "_LEVEL_NAME_"	Récupérez _VALUE_ couronnes dans « _LEVEL_NAME_ »	Erhalte _VALUE_ Kronen in "_LEVEL_NAME_"	Get _VALUE_ में मुकुट "_LEVEL_NAME_"	Mendapatkan _VALUE_ mahkota di "_LEVEL_NAME_"	Ottieni _VALUE_ corone in "_LEVEL_NAME_"	"_LEVEL_NAME_"で_VALUE_個の王冠を獲得	"_LEVEL_NAME_"에서 _VALUE_왕관 받기	Dapatkan mahkota _VALUE_ dalam "_LEVEL_NAME_"	Få _VALUE_ kroner i «_LEVEL_NAME_»	Zdobądź korony: _VALUE_ w poziomie "_LEVEL_NAME_"	Pegue _VALUE_ coroas em "_LEVEL_NAME_"	Получить _VALUE_ корон на уровне "_LEVEL_NAME_"	Conseguir _VALUE_ coronas en "_LEVEL_NAME_"	Få _VALUE_ kronor i "_LEVEL_NAME_"	ทำให้ได้ _VALUE_ มงกุฎ ใน "_LEVEL_NAME_"	"_LEVEL_NAME_" de _VALUE_ taçları al	Nhận _VALUE_ vương miện trong "_LEVEL_NAME_"
FinishWithoutMusic	Finish "_LEVEL_NAME_" without music	إنهاء "_LEVEL_NAME_" دون موسيقى	无音乐时完成 "_LEVEL_NAME_"	不開啟音樂完成"_LEVEL_NAME_"	Afslut "_LEVEL_NAME_" uden musik	Voltooi "_LEVEL_NAME_" zonder muziek	Läpäise "_LEVEL_NAME_" ilman musiikkia	Terminez « _LEVEL_NAME_ » sans musique	Beende "_LEVEL_NAME_" ohne Musik	"_LEVEL_NAME_" बिना संगीत के पूरा करें	Menyelesaikan "_LEVEL_NAME_" tanpa musik	Termina "_LEVEL_NAME_" senza musica	"_LEVEL_NAME_"を音楽無しでクリア	음악 없이 "_LEVEL_NAME_" 마치기	Habiskan "_LEVEL_NAME_" tanpa muzik	Fullfør «_LEVEL_NAME_» uten musikk	Zakończ poziom "_LEVEL_NAME_" bez muzyki	Conclua "_LEVEL_NAME_" sem música	Закончить уровень "_LEVEL_NAME_" без музыки	Finalizar "_LEVEL_NAME_" sin música	Avsluta "_LEVEL_NAME_" utan musik	สิ้นสุด "_LEVEL_NAME_" โดยไม่มีเสียงดนตรี	"_LEVEL_NAME_" i müziksiz bitir	Hoàn thành "_LEVEL_NAME_" mà không có nhạc
MakeAComboIn	Make a "Perfect" streak _VALUE_ in "_LEVEL_NAME_"	تشكيل كومبو _VALUE_ في "_LEVEL_NAME_"	在 "_LEVEL_NAME_" 完成组合 _VALUE_	在"_LEVEL_NAME_"達成_VALUE_ 連擊	Lav en kombo _VALUE_ i "_LEVEL_NAME_"	Maak een combo _VALUE_ in "_LEVEL_NAME_"	Kerää _VALUE_:n kombo tasolla "_LEVEL_NAME_"	Réalisez un combo _VALUE_ dans « _LEVEL_NAME_ »	Schaffe eine Kombination _VALUE_ in "_LEVEL_NAME_"	"_LEVEL_NAME_" में कॉम्बो _VALUE_ बनाएं	Menghasilkan _VALUE_ kombo di "_LEVEL_NAME_"	Fai una combo _VALUE_ in "_LEVEL_NAME_"	"_LEVEL_NAME_"でコンボ_VALUE_を作る	"_LEVEL_NAME_"에서 콤보 _VALUE_ 만들기	Buat kombo _VALUE_ dalam "_LEVEL_NAME_"	Oppnå en kombinert _VALUE_ i «_LEVEL_NAME_»	Seria "Perfektów": _VALUE_ w poziomie "_LEVEL_NAME_"	Faça um combo de _VALUE_ em "_LEVEL_NAME_"	Сделать комбо _VALUE_ на уровне "_LEVEL_NAME_"	Hacer un combo _VALUE_ en "_LEVEL_NAME_"	Gör en _VALUE_-kombo i "_LEVEL_NAME_"	ทำคอมโบ _VALUE_ ใน "_LEVEL_NAME_"	"_LEVEL_NAME_" de _VALUE_ karması yap	Tạo gói _VALUE_ trong "_LEVEL_NAME_"
MakeAComboInExtreme	Make a "Perfect" streak _VALUE_ in extreme "_LEVEL_NAME_"	تشكيل كومبر _VALUE_ في إكستريم "_LEVEL_NAME_"	在极端的 "_LEVEL_NAME_" 中完成组合 _VALUE_	在"_LEVEL_NAME_"終極難度達成_VALUE_ 連擊	Lav en kombo _VALUE_ i ekstrem "_LEVEL_NAME_"	Maak een combo _VALUE_ in extreme "_LEVEL_NAME_"	Kerää _VALUE_:n kombo extreme-tasolla "_LEVEL_NAME_"	Réalisez un combo _VALUE_ dans « _LEVEL_NAME_ » extrême	Schaffe eine Kombination _VALUE_ in "_LEVEL_NAME_" auf Extrem	"_LEVEL_NAME_" अत्यधिक में कॉम्बो _VALUE_ बनाएं	Menghasilkan _VALUE_ kombo di "_LEVEL_NAME_" ekstrem	Fai una combo _VALUE_ nell'estremo "_LEVEL_NAME_"	エクストリームの"_LEVEL_NAME_"でコンボ_VALUE_を作る	익스트림 "_LEVEL_NAME_"에서 콤보 _VALUE_ 만들기	Buat kombo _VALUE_ dalam "_LEVEL_NAME_" ekstrem	Oppnå en kombinert _VALUE_ i ekstrem «_LEVEL_NAME_»	Zrób serię "Perfektów": _VALUE_ w poziomie  "_LEVEL_NAME_" (tryb ekstremalny)	Faça um combo de _VALUE_ em "_LEVEL_NAME_" extremo	Сделать комбо _VALUE_ на экстремальном уровне "_LEVEL_NAME_"	Hacer un combo _VALUE_ en "_LEVEL_NAME_" extremo	Gör en _VALUE_ -kombo i extrem "_LEVEL_NAME_"	ทำคอมโบ _VALUE_ ใน "_LEVEL_NAME_" ขั้นสุด	Aşırı "_LEVEL_NAME_" de _VALUE_ karması yap	Tạo gói _VALUE_ trong "_LEVEL_NAME_" khắc nghiệt
MakeTurns	Make _VALUE_ turns	تنفيذ _VALUE_ دورات	完成 _VALUE_ 个转弯	達成 _VALUE_ 次轉彎	Lav_VALUE_ vendinger	Maak _VALUE_ beurten	Käänny _VALUE_ kertaa	Effectuez _VALUE_ virages	Mache _VALUE_ Züge	_VALUE_ बारी बनाएं	Melakukan _VALUE_ belokan	Fai _VALUE_ giri	_VALUE_回ターンする	_VALUE_턴 하기	Buat _VALUE_ belokan	Gjør _VALUE_ svinger	Pokonaj zakręty: _VALUE_	Faça _VALUE_ curvas	Сделать _VALUE_ поворотов	Hacer _VALUE_ turnos	Gör _VALUE_ svängar	หมุนให้ได้ _VALUE_	_VALUE_ yu döndür	Thực hiện _VALUE_ rẽ
TravelTiles	Travel _VALUE_ tiles	قطع _VALUE_ مربعات	走过 _VALUE_ 个方格	經過 _VALUE_ 片方塊	Rejs over _VALUE_ brikker	Reis _VALUE_ tegels	Kulje _VALUE_ tiiltä	Déplacez-vous sur _VALUE_ cases	Überquere _VALUE_ Felder	_VALUE_ टाइल की यात्रा करें	Menempuh _VALUE_ ubin	Passa su _VALUE_ tessere	_VALUE_タイル移動する	_VALUE_ 타일 여행하기	Bergerak _VALUE_ jubin	Kjør over _VALUE_ fliser	Przejedź pola: _VALUE_	Viaje por _VALUE_ ladrilhos	Пройти _VALUE_ плиток	Viajar _VALUE_ mosáicos	Förflytta dig _VALUE_ brickor	เดินให้ได้ _VALUE_ แผ่น	_VALUE_ çinileri gez	Di chuyển _VALUE_ viên
MakePerfectTaps	Make _VALUE_ perfect (gold) taps	تنفيذ _VALUE_ ضغطات ممتازة (ذهبية)	完成 _VALUE_ 个完美（金色）点触	達成 _VALUE_ 次完美評價（金色）點擊	Lav _VALUE_ perfekte (guld) tryk	Maak _VALUE_ perfecte (goud) tikken	Napauta täydellisesti (kulta) _VALUE_ kertaa	Réalisez _VALUE_ touches parfaites (or	Mache _VALUE_ perfekte (goldene) Tipper	_VALUE_ सही (सुनहला) टैप बनाएं	Melakukan _VALUE_ ketukan sempurna (emas)	Esegui _VALUE_ tocchi perfetti (oro)	_VALUE_回パーフェクト（ゴールド）タップを行う	_VALUE_ 완벽한(금색) 탭하기	Buat _VALUE_ ketikan sempurna (emas)	Gjør _VALUE_ feilfrie (gylne) trykk	Wykonaj doskonałe (złote) stuknięcia: _VALUE_	Faça _VALUE_ toques perfeitos (dourados)	Сделать _VALUE_ идеальных (золотых) нажатий	Hacer _VALUE_ toques perfectos (dorado)	Gör _VALUE_ perfekta (guld)-klick	แตะให้ได้ _VALUE_ สมบูรณ์แบบ (สีทอง)	_VALUE_ mükemmel (altın) dokunuş yap	Thực hiện _VALUE_ cú nhấp hoàn hảo (vàng)
